dominio_hashed,veredicto,raw_output,sector,ciudad,comunidad
c856ea79e66304b9aa826f833410acd66512855aa836c18bafeb6226fb6cb6fc,Suplantación NO es posible,bf03f840d26ee2f833e417e2e867481d28561ce9bd51cd8694ce39c55858468c,['hospitality'],,Balearic Islands
afd4f9bd2831bd819e7d9c1b2dbfacaa89d202a7b75f5fe16a470d9f7e306dcc,Suplantación posible,d6a83d35a44fd7902b32bacfda05f8712157a70d4ae2c9900f5010b48af09785,['broadcast media'],Zaragoza,Aragon
539d68e85e4f939b1df0b868799c5ca888a961f7000655daa1b0d5ab5e6db970,Suplantación NO es posible,8890fa3aff6c33d08befafbdeadea3cedb5ce8ab4fc4eabd54c4c74738dbe230,['broadcast media'],Zaragoza,Aragon
07164cbc4af363c210863411f48e71ea2bbddd889d001b76582d3ce821afef8f,Suplantación quizá es posible,2cedab8a4b3a9d136b79512b5a504c07af85cf67fc40a41e16607d1f03886f5b,['broadcast media'],Zaragoza,Aragon
b164ee9493f47c2d263d0d4532d249228d61415412ce5b47c8a0301ec7ad8c64,Suplantación posible,3e05e3eed7413de80a3418558fbe6bdaba88b0d20ec7e4b08bc3cb9f00ca1e9c,['broadcast media'],Zaragoza,Aragon
d9881063546dbcf61f1b54a8e8ba09d20220d42fec81b68ac33fa4a09c2847a7,Suplantación quizá es posible,858f4507b76a809821c12546d7b05aae5affd5d3d118067f4015eb19c4681dde,['broadcast media'],Zaragoza,Aragon
fb19c2844a9d81e3fb2798b8f0ba2a8694b6caca6a455f00e8e2de2e6698a2d0,Suplantación posible,6e327498535f3e803559ad7dfc8a94d2df006d429a0e82aad874cb2f48295f64,['environmental services & clean energy'],Gijón,Principado de Asturias
a0b1b8bf7d4d22ec84c65d5aa34bb5a10c96b02795a1a102293813c80d307829,Suplantación NO es posible,1ce5bf2ccd7aee35fed06fb0b4b0eb9268219a7d04f6c4a123e2ab3ec1058f35,['environmental services & clean energy'],Gijón,Principado de Asturias
225f43e216f5edaac6e1f95ae5ac75c794468342b0ee125556f1281d91b8d609,Suplantación posible,884d2c4cfebf700a6c85463a7bb1a4298d7034ac733bc2e7d59054ae820cef86,['marketing & advertising'],Quart de Poblet,Valencian Community
4cc7ce17f4ee1bae6147602c0098f2c854782363fc810bc181e8d4b7e0f2176e,Suplantación NO es posible,3bc5368df695dfb0db249a0ccef2eb82e29cf7ca41d203b8742ac3caf3bdf9b9,['marketing & advertising'],Quart de Poblet,Valencian Community
